epoch,loss,weight,bias,weight_grad,bias_grad
9.500000000000000000e+01,2.152560651302337646e-02,1.999999761581420898e+00,8.532840013504028320e-01,-4.556030035018920898e-06,-2.934321463108062744e-01
9.600000000000000000e+01,2.067316696047782898e-02,1.999999761581420898e+00,8.562183380126953125e-01,-4.615634679794311523e-06,-2.875633239746093750e-01
9.700000000000000000e+01,1.985451951622962952e-02,1.999999761581420898e+00,8.590939640998840332e-01,-4.846602678298950195e-06,-2.818121314048767090e-01
9.800000000000000000e+01,1.906828582286834717e-02,1.999999761581420898e+00,8.619120717048645020e-01,-4.850327968597412109e-06,-2.761759161949157715e-01
9.900000000000000000e+01,1.831319369375705719e-02,1.999999761581420898e+00,8.646738529205322266e-01,-4.503875970840454102e-06,-2.706525027751922607e-01
1.000000000000000000e+02,1.758799329400062561e-02,1.999999761581420898e+00,8.673803806304931641e-01,-4.503875970840454102e-06,-2.652394473552703857e-01
1.010000000000000000e+02,1.689150929450988770e-02,1.999999761581420898e+00,8.700327873229980469e-01,-4.962086677551269531e-06,-2.599346935749053955e-01
1.020000000000000000e+02,1.622258871793746948e-02,1.999999761581420898e+00,8.726321458816528320e-01,-4.570931196212768555e-06,-2.547358870506286621e-01
1.030000000000000000e+02,1.558017730712890625e-02,1.999999761581420898e+00,8.751795291900634766e-01,-4.507601261138916016e-06,-2.496411800384521484e-01
1.040000000000000000e+02,1.496316120028495789e-02,1.999999761581420898e+00,8.776759505271911621e-01,-4.585832357406616211e-06,-2.446480095386505127e-01
1.050000000000000000e+02,1.437066122889518738e-02,1.999999761581420898e+00,8.801224231719970703e-01,-4.500150680541992188e-06,-2.397553920745849609e-01
1.060000000000000000e+02,1.380158588290214539e-02,1.999999761581420898e+00,8.825199604034423828e-01,-4.500150680541992188e-06,-2.349602878093719482e-01
1.070000000000000000e+02,1.325501501560211182e-02,1.999999761581420898e+00,8.848695755004882812e-01,-4.585832357406616211e-06,-2.302608489990234375e-01
1.080000000000000000e+02,1.273013837635517120e-02,1.999999761581420898e+00,8.871721625328063965e-01,-4.928559064865112305e-06,-2.256558388471603394e-01
1.090000000000000000e+02,1.222599390894174576e-02,1.999999761581420898e+00,8.894287347793579102e-01,-4.235655069351196289e-06,-2.211424410343170166e-01
1.100000000000000000e+02,1.174182165414094925e-02,1.999999761581420898e+00,8.916401863098144531e-01,-4.243105649948120117e-06,-2.167193889617919922e-01
1.110000000000000000e+02,1.127686724066734314e-02,1.999999761581420898e+00,8.938073515892028809e-01,-4.585832357406616211e-06,-2.123851925134658813e-01
1.120000000000000000e+02,1.083030737936496735e-02,1.999999761581420898e+00,8.959311842918395996e-01,-4.585832357406616211e-06,-2.081375420093536377e-01
1.130000000000000000e+02,1.040145009756088257e-02,1.999999761581420898e+00,8.980125784873962402e-01,-4.924833774566650391e-06,-2.039750069379806519e-01
1.140000000000000000e+02,9.989562444388866425e-03,1.999999761581420898e+00,9.000523090362548828e-01,-4.507601261138916016e-06,-1.998956054449081421e-01
1.150000000000000000e+02,9.593959897756576538e-03,1.999999761581420898e+00,9.020512700080871582e-01,-4.839152097702026367e-06,-1.958975344896316528e-01
1.160000000000000000e+02,9.214049205183982849e-03,1.999999761581420898e+00,9.040102362632751465e-01,-4.954636096954345703e-06,-1.919796764850616455e-01
1.170000000000000000e+02,8.849133737385272980e-03,1.999999761581420898e+00,9.059300422668457031e-01,-4.261732101440429688e-06,-1.881396621465682983e-01
1.180000000000000000e+02,8.498732931911945343e-03,1.999999761581420898e+00,9.078114628791809082e-01,-4.842877388000488281e-06,-1.843771487474441528e-01
1.190000000000000000e+02,8.162171579897403717e-03,1.999999761581420898e+00,9.096552133560180664e-01,-4.220753908157348633e-06,-1.806894540786743164e-01
1.200000000000000000e+02,7.838960736989974976e-03,1.999999761581420898e+00,9.114621281623840332e-01,-4.842877388000488281e-06,-1.770758181810379028e-01
1.210000000000000000e+02,7.528544869273900986e-03,1.999999761581420898e+00,9.132328629493713379e-01,-4.585832357406616211e-06,-1.735343933105468750e-01
1.220000000000000000e+02,7.230403367429971695e-03,1.999999761581420898e+00,9.149681925773620605e-01,-4.326924681663513184e-06,-1.700635552406311035e-01
1.230000000000000000e+02,6.944074295461177826e-03,1.999999761581420898e+00,9.166688323020935059e-01,-4.602596163749694824e-06,-1.666622310876846313e-01
1.240000000000000000e+02,6.669079884886741638e-03,1.999999761581420898e+00,9.183354377746582031e-01,-4.243105649948120117e-06,-1.633288562297821045e-01
1.250000000000000000e+02,6.405017804354429245e-03,1.999999761581420898e+00,9.199687242507934570e-01,-4.580244421958923340e-06,-1.600627005100250244e-01
1.260000000000000000e+02,6.151387933641672134e-03,1.999999761581420898e+00,9.215693473815917969e-01,-4.943460226058959961e-06,-1.568615734577178955e-01
1.270000000000000000e+02,5.907778162509202957e-03,1.999999761581420898e+00,9.231379628181457520e-01,-4.844740033149719238e-06,-1.537241488695144653e-01
1.280000000000000000e+02,5.673838313668966293e-03,1.999999761581420898e+00,9.246752262115478516e-01,-4.505738615989685059e-06,-1.506497710943222046e-01
1.290000000000000000e+02,5.449128802865743637e-03,1.999999761581420898e+00,9.261817336082458496e-01,-4.593282938003540039e-06,-1.476364284753799438e-01
1.300000000000000000e+02,5.233353003859519958e-03,1.999999761581420898e+00,9.276580810546875000e-01,-4.606321454048156738e-06,-1.446838378906250000e-01
1.310000000000000000e+02,5.026122555136680603e-03,1.999999761581420898e+00,9.291049242019653320e-01,-4.582107067108154297e-06,-1.417903006076812744e-01
1.320000000000000000e+02,4.827070981264114380e-03,1.999999761581420898e+00,9.305227994918823242e-01,-4.608184099197387695e-06,-1.389542520046234131e-01
1.330000000000000000e+02,4.635918885469436646e-03,1.999999761581420898e+00,9.319123625755310059e-01,-4.593282938003540039e-06,-1.361751556396484375e-01
1.340000000000000000e+02,4.452333785593509674e-03,1.999999761581420898e+00,9.332740902900695801e-01,-4.515051841735839844e-06,-1.334516406059265137e-01
1.350000000000000000e+02,4.276048392057418823e-03,1.999999761581420898e+00,9.346085786819458008e-01,-4.570931196212768555e-06,-1.307829916477203369e-01
1.360000000000000000e+02,4.106721375137567520e-03,1.999999761581420898e+00,9.359164237976074219e-01,-4.939734935760498047e-06,-1.281674206256866455e-01
1.370000000000000000e+02,3.944088239222764969e-03,1.999999761581420898e+00,9.371981024742126465e-01,-4.949048161506652832e-06,-1.256039589643478394e-01
1.380000000000000000e+02,3.787875641137361526e-03,1.999999761581420898e+00,9.384541511535644531e-01,-4.246830940246582031e-06,-1.230914443731307983e-01
1.390000000000000000e+02,3.637905232608318329e-03,1.999999761581420898e+00,9.396850466728210449e-01,-4.688277840614318848e-06,-1.206301003694534302e-01
1.400000000000000000e+02,3.493841737508773804e-03,1.999999761581420898e+00,9.408913254737854004e-01,-4.602596163749694824e-06,-1.182174682617187500e-01
1.410000000000000000e+02,3.355472814291715622e-03,1.999999761581420898e+00,9.420735239982604980e-01,-4.334375262260437012e-06,-1.158528923988342285e-01
1.420000000000000000e+02,3.222584491595625877e-03,1.999999761581420898e+00,9.432320594787597656e-01,-4.243105649948120117e-06,-1.135356277227401733e-01
1.430000000000000000e+02,3.094985149800777435e-03,1.999999761581420898e+00,9.443674087524414062e-01,-4.591420292854309082e-06,-1.112651824951171875e-01
1.440000000000000000e+02,2.972421469166874886e-03,1.999999761581420898e+00,9.454800486564636230e-01,-4.341825842857360840e-06,-1.090398430824279785e-01
1.450000000000000000e+02,2.854721853509545326e-03,1.999999761581420898e+00,9.465704560279846191e-01,-4.602596163749694824e-06,-1.068591922521591187e-01
1.460000000000000000e+02,2.741661621257662773e-03,1.999999761581420898e+00,9.476390480995178223e-01,-4.243105649948120117e-06,-1.047217547893524170e-01
1.470000000000000000e+02,2.633096184581518173e-03,1.999999761581420898e+00,9.486862421035766602e-01,-4.222616553306579590e-06,-1.026274114847183228e-01
1.480000000000000000e+02,2.528820186853408813e-03,1.999999761581420898e+00,9.497125148773193359e-01,-4.686415195465087891e-06,-1.005747616291046143e-01
1.490000000000000000e+02,2.428692998364567757e-03,1.999999761581420898e+00,9.507182836532592773e-01,-4.962086677551269531e-06,-9.856355190277099609e-02
1.500000000000000000e+02,2.332505304366350174e-03,1.999999761581420898e+00,9.517039060592651367e-01,-4.615634679794311523e-06,-9.659203886985778809e-02
1.510000000000000000e+02,2.240144880488514900e-03,1.999999761581420898e+00,9.526697993278503418e-01,-4.332512617111206055e-06,-9.466034173965454102e-02
1.520000000000000000e+02,2.151450142264366150e-03,1.999999761581420898e+00,9.536163806915283203e-01,-4.513189196586608887e-06,-9.276746213436126709e-02
1.530000000000000000e+02,2.066242042928934097e-03,1.999999761581420898e+00,9.545440673828125000e-01,-4.602596163749694824e-06,-9.091186523437500000e-02
1.540000000000000000e+02,1.984430709853768349e-03,1.999999761581420898e+00,9.554531574249267578e-01,-4.503875970840454102e-06,-8.909390866756439209e-02
1.550000000000000000e+02,1.905847107991576195e-03,1.999999761581420898e+00,9.563440680503845215e-01,-4.943460226058959961e-06,-8.731201291084289551e-02
1.560000000000000000e+02,1.830366556532680988e-03,1.999999761581420898e+00,9.572172164916992188e-01,-4.596076905727386475e-06,-8.556556701660156250e-02
1.570000000000000000e+02,1.757890684530138969e-03,1.999999761581420898e+00,9.580729007720947266e-01,-4.512257874011993408e-06,-8.385442197322845459e-02
1.580000000000000000e+02,1.688282121904194355e-03,1.999999761581420898e+00,9.589114189147949219e-01,-4.946254193782806396e-06,-8.217742294073104858e-02
1.590000000000000000e+02,1.621423987671732903e-03,1.999999761581420898e+00,9.597331881523132324e-01,-4.683621227741241455e-06,-8.053381741046905518e-02
1.600000000000000000e+02,1.557205221615731716e-03,1.999999761581420898e+00,9.605385065078735352e-01,-4.220753908157348633e-06,-7.892288267612457275e-02
1.610000000000000000e+02,1.495551900006830692e-03,1.999999761581420898e+00,9.613277316093444824e-01,-4.683621227741241455e-06,-7.734473049640655518e-02
